Identificação;Mês;Nome do Produto;Un;Quantidade;Custo Unitário;Custo Total;Valor Unitário;Valor Total;Margem
1502;Janeiro;MALHA ESPORTIVA 100% POLIESTER -BANDEIRA;KG;17,52;28,92;506,68;41,5;727;30,31
1146;Janeiro;MALHA ESPORTIVA 100% POLIESTER -BRANCO;KG;2488,75;19,5711;48.707,76;33,53;83.442,24;41,63
1529;Janeiro;MALHA ESPORTIVA 100% POLIESTER -LARANJA;KG;61,05;28,9199;1.765,56;39,46;2.408,81;26,7
1530;Janeiro;MALHA ESPORTIVA 100% POLIESTER -LIMAO;KG;46,87;22,8602;1.071,46;43,29;2.028,88;47,19
1573;Janeiro;MALHA ESPORTIVA 100% POLIESTER -MARINHO;KG;144,94;23,8155;3.451,82;38,24;5.542,49;37,72
1577;Janeiro;MALHA ESPORTIVA 100% POLIESTER -PINK;KG;3,37;26,181;88,23;38;128,06;31,1
1565;Janeiro;MALHA ESPORTIVA 100% POLIESTER -PRATA;KG;75,92;23,08;1.752,24;36,95;2.805,00;37,53
1501;Janeiro;MALHA ESPORTIVA 100% POLIESTER -PRETO;KG;235,47;21,7901;5.130,93;39,48;9.296,74;44,81
1156;Janeiro;MALHA ESPORTIVA 100% POLIESTER -ROYAL;KG;98,17;22,91;2.249,08;38,39;3.768,36;40,32
1500;Janeiro;MALHA ESPORTIVA 100% POLIESTER -VERMELHO;KG;56,55;23,8198;1.347,01;39,17;2.214,99;39,19
1570;Janeiro;MEIA MALHA 100% POLIESTER - AM CANARIO;KG;164,74;20,3599;3.354,10;37,07;6.106,24;45,07
1568;Janeiro;MEIA MALHA 100% POLIESTER - AZ MARINHO;KG;566,25;20,2891;11.488,71;31,71;17.953,87;36,01
1571;Janeiro;MEIA MALHA 100% POLIESTER - AZ MOTORISTA;KG;124,22;20,8198;2.586,24;35,96;4.467,44;42,11
1567;Janeiro;MEIA MALHA 100% POLIESTER - AZUL ROYAL;KG;1132,37;20,6456;23.378,46;31,57;35.754,50;34,61
1588;Janeiro;MEIA MALHA 100% POLIESTER - BEGE;KG;19,79;20,0601;396,99;31,9;631,3;37,12
1312;Janeiro;MEIA MALHA 100% POLIESTER - BRANCA;KG;2554,12;16,6022;42.404,21;30,95;79.059,69;46,36
1572;Janeiro;MEIA MALHA 100% POLIESTER - CINZA PRATA;KG;167,62;20,69;3.468,06;32,94;5.521,08;37,19
1566;Janeiro;MEIA MALHA 100% POLIESTER - FERRARI;KG;172,85;21,9757;3.798,50;34,97;6.045,41;37,17
1596;Janeiro;MEIA MALHA 100% POLIESTER - LARANJA;KG;9,92;21,3709;212;40,27;399,44;46,93
