Identificação;Mês;Nome do Produto;Un;Quantidade;Custo Unitário;Custo Total;Valor Unitário;Valor Total;Margem
1502;Abril;MALHA ESPORTIVA 100% POLIESTER -BANDEIRA;KG;9,36;24,0502;225,11;43,35;405,76;44,52
1146;Abril;MALHA ESPORTIVA 100% POLIESTER -BRANCO;KG;3601,72;15,4761;55.740,62;32,91;118.546,30;52,98
1529;Abril;MALHA ESPORTIVA 100% POLIESTER -LARANJA;KG;15,23;19,3388;294,53;43,58;663,71;55,62
1530;Abril;MALHA ESPORTIVA 100% POLIESTER -LIMAO;KG;43,95;20,9101;919;44,67;1.963,16;53,19
1573;Abril;MALHA ESPORTIVA 100% POLIESTER -MARINHO;KG;192,39;20,82;4.005,56;36,88;7.094,63;43,54
1577;Abril;MALHA ESPORTIVA 100% POLIESTER -PINK;KG;45,795;26,1797;1.198,90;38,52;1.764,16;32,04
1565;Abril;MALHA ESPORTIVA 100% POLIESTER -PRATA;KG;63,8;18,8899;1.205,18;37,56;2.396,31;49,71
1501;Abril;MALHA ESPORTIVA 100% POLIESTER -PRETO;KG;394,28;18,5117;7.298,82;38,57;15.206,34;52
1156;Abril;MALHA ESPORTIVA 100% POLIESTER -ROYAL;KG;94,17;19,9642;1.880,03;38,61;3.635,91;48,29
1500;Abril;MALHA ESPORTIVA 100% POLIESTER -VERMELHO;KG;34,582;22,0299;761,84;44,57;1.541,30;50,57
1570;Abril;MEIA MALHA 100% POLIESTER - AM CANARIO;KG;74,75;17,4501;1.304,40;33,68;2.517,64;48,19
1568;Abril;MEIA MALHA 100% POLIESTER - AZ MARINHO;KG;784,06;19,0909;14.968,44;32,04;25.117,38;40,41
1571;Abril;MEIA MALHA 100% POLIESTER - AZ MOTORISTA;KG;284,47;18,3692;5.225,51;31,04;8.828,75;40,81
1567;Abril;MEIA MALHA 100% POLIESTER - AZUL ROYAL;KG;350,03;19,1879;6.716,35;31,01;10.854,03;38,12
1588;Abril;MEIA MALHA 100% POLIESTER - BEGE;KG;85,85;18,4601;1.584,80;32,47;2.787,87;43,15
1312;Abril;MEIA MALHA 100% POLIESTER - BRANCA;KG;3223,273;17,5567;56.590,27;29,41;94.792,40;40,3
1572;Abril;MEIA MALHA 100% POLIESTER - CINZA PRATA;KG;183,19;18,4248;3.375,25;32,11;5.882,20;42,62
1566;Abril;MEIA MALHA 100% POLIESTER - FERRARI;KG;202,89;20,0198;4.061,83;26,48;5.372,07;24,39
1596;Abril;MEIA MALHA 100% POLIESTER - LARANJA;KG;105,95;19,4717;2.063,03;32,2;3.412,03;39,54
1682;Abril;MEIA MALHA 100% POLIESTER -  NAUTICO;KG;236,54;19,0799;4.513,18;30,85;7.296,59;38,15
1589;Abril;MEIA MALHA 100% POLIESTER - PEROLA;KG;177,1;18,37;3.253,33;31,04;5.497,67;40,82
1587;Abril;MEIA MALHA 100% POLIESTER - PETROLEO;KG;105,805;21,77;2.303,38;33,96;3.593,39;35,9
1579;Abril;MEIA MALHA 100% POLIESTER - PINK;KG;43,19;21,19;915,2;36,23;1.564,89;41,52
1563;Abril;MEIA MALHA 100% POLIESTER - PRETO;KG;549,13;20,3;11.147,38;32,86;18.046,36;38,23
1646;Abril;MEIA MALHA 100% POLIESTER - ROSA BEBE;KG;29,59;16,64;492,38;35,65;1.055,00;53,33
1578;Abril;MEIA MALHA 100% POLIESTER - VERDE FOLHA;KG;360,56;20,65;7.445,58;35,02;12.627,78;41,04
23;Abril;M/M 100% ALGODAO PENTEADA - AZ MARINHO;KG;18,11;26,7697;484,8;46,07;834,32;41,89
1326;Abril;M/M 100% ALGODAO PENTEADA - BRANCO;KG;84,035;23,5399;1.978,18;42,22;3.547,61;44,24
179;Abril;M/M 100% ALGODAO PENTEADA - PRETA;KG;69,93;25,8801;1.809,80;47,93;3.351,92;46,01
1551;Abril;MM 96% POLIESTER/4% ELASTANO - BRANCO;KG;35,52;26,5898;944,47;42,74;1.517,97;37,78
1475;Abril;M/M PIQUET 50%POL/50%ALG - AZ MOTORISTA;KG;35,375;27,9002;986,97;47,41;1.677,28;41,16
1465;Abril;M/M PIQUET 50%POL/50%ALG - AZUL MARINHO;KG;492,11;25,0501;12.327,43;49,6;24.408,66;49,5
1491;Abril;M/M PIQUET 50%POL/50%ALG - AZUL ROYAL;KG;215,12;28,52;6.135,23;49,43;10.633,06;42,3
1522;Abril;M/M PIQUET 50%POL/50%ALG - BEGE;KG;5;18,98;94,9;55,9;279,5;66,05
172;Abril;M/M PIQUET 50%POL/50%ALG - BRANCO;KG;75,93;21,47;1.630,22;46,8;3.553,61;54,12
1520;Abril;M/M PIQUET 50%POL/50%ALG - CINZA CHUMBO;KG;35,88;24,3397;873,31;49,1;1.761,59;50,42
1519;Abril;M/M PIQUET 50%POL/50%ALG - CINZA PRATA;KG;27,52;23,1504;637,1;48,04;1.322,15;51,81
42;Abril;M/M PIQUET 50%POL/50%ALG - GRAFITE;KG;155,01;24,5799;3.810,14;46,36;7.186,67;46,98
1470;Abril;M/M PIQUET 50%POL/50%ALG - PRETO;KG;201,03;23,8146;4.787,46;50,15;10.081,27;52,51
1521;Abril;M/M PIQUET 50%POL/50%ALG - VD BANDEIRA;KG;88,3;26,4801;2.338,20;48,08;4.245,89;44,93
1473;Abril;M/M PIQUET 50%POL/50%ALG - VERDE MUSGO;KG;175,28;24,9499;4.373,23;46,61;8.170,65;46,48
1464;Abril;M/M PIQUET 50%POL/50%ALG - VERMELHO;KG;8,98;25,7505;231,24;49,11;441,02;47,57
1602;Abril;M/M PIQUET 50%POL/50%ALG - VINHO;KG;8,74;28,5697;249,7;48,12;420,53;40,62
1552;Abril;M/M PIQUET 65%POLI. 35%VISC - MESCLA;KG;2999,24;20,11;60.314,72;34,22;102.641,02;41,24
1621;Abril;M/M PV 65%POLIEST. 35%VISC. - AM CANARIO;KG;199,02;21,7369;4.326,08;40,32;8.024,05;46,09
1628;Abril;M/M PV 65%POLIEST. 35%VISC. - AM OURO;KG;132,69;19,8003;2.627,31;36,8;4.882,68;46,19
1607;Abril;M/M PV 65%POLIEST. 35%VISC. - AZ MARINHO;KG;2726,31;22,4769;61.279,10;37,46;102.121,14;39,99
1645;Abril;M/M PV 65%POLIEST. 35%VISC. - AZUL BEBE;KG;97,61;22,89;2.234,30;36,77;3.588,90;37,74
1606;Abril;M/M PV 65%POLIEST. 35%VISC. - AZUL ROYAL;KG;1409,25;20,8678;29.407,96;38,4;54.109,85;45,65
1631;Abril;M/M PV 65%POLIEST. 35%VISC. - BANDEIRA;KG;56,05;28,4401;1.594,07;39,26;2.200,57;27,56
1612;Abril;M/M PV 65%POLIEST. 35%VISC. - BEGE AREIA;KG;104,83;19,3699;2.030,55;39,77;4.168,85;51,29
1544;Abril;M/M PV 65%POLIEST. 35%VISC. - BRANCO;KG;3448,8;22,4179;77.315,02;31,54;108.787,40;28,93
1644;Abril;M/M PV 65%POLIEST. 35%VISC. - CAQUI;KG;115,12;19,75;2.273,62;37,12;4.273,40;46,8
1632;Abril;M/M PV 65%POLIEST. 35%VISC. - CELESTE;KG;78,11;24,69;1.928,54;38,7;3.023,12;36,21
1629;Abril;M/M PV 65%POLIEST. 35%VISC. - CZ CHUMBO;KG;634,14;20,7919;13.185,03;38,66;24.513,58;46,21
1662;Abril;M/M PV 65%POLIEST. 35%VISC. - CZ FORTE;KG;131,87;26,0499;3.435,21;34,06;4.491,77;23,52
1617;Abril;M/M PV 65%POLIEST. 35%VISC. - CZ PRATA;KG;395,03;18,9399;7.481,85;35,51;14.029,48;46,67
1627;Abril;M/M PV 65%POLIEST. 35%VISC. - ESMERALDA;KG;39,87;22,1201;881,93;41,65;1.660,49;46,89
1610;Abril;M/M PV 65%POLIEST. 35%VISC. - FERRARI;KG;524,82;21,834;11.458,92;38,34;20.121,04;43,05
1635;Abril;M/M PV 65%POLIEST. 35%VISC. - GRAFITE;KG;595,75;20,98;12.498,89;38,13;22.717,44;44,98
1615;Abril;M/M PV 65%POLIEST. 35%VISC. - LARANJA;KG;725,79;20,4902;14.871,60;37,68;27.348,85;45,62
1643;Abril;M/M PV 65%POLIEST. 35%VISC. - MARROM;KG;28,86;25,9902;750,08;39,42;1.137,74;34,07
1634;Abril;M/M PV 65%POLIEST. 35%VISC. - MOTORISTA;KG;350,66;24,3;8.521,04;38,9;13.640,92;37,53
1641;Abril;M/M PV 65%POLIEST. 35%VISC. - PEROLA;KG;22,99;24,8399;571,07;37,76;868,08;34,21
1619;Abril;M/M PV 65%POLIEST. 35%VISC. - PETROLEO;KG;353,88;26,9238;9.527,81;39,35;13.925,43;31,58
1616;Abril;M/M PV 65%POLIEST. 35%VISC. - PINK;KG;254,24;19,27;4.899,21;39,19;9.963,27;50,83
1609;Abril;M/M PV 65%POLIEST. 35%VISC. - PRETO;KG;3591,64;19,8744;71.381,88;37,61;135.095,34;47,16
1625;Abril;M/M PV 65%POLIEST. 35%VISC. - ROXO;KG;96,16;24,4099;2.347,26;37,44;3.600,42;34,81
1611;Abril;M/M PV 65%POLIEST. 35%VISC. - VD FOLHA;KG;1157,27;25,8385;29.902,20;37,6;43.512,34;31,28
1626;Abril;M/M PV 65%POLIEST. 35%VISC. - VD LIMAO;KG;349,99;20,9773;7.341,87;38,57;13.498,44;45,61
1623;Abril;M/M PV 65%POLIEST. 35%VISC. - VD MUSGO;KG;504,98;21,4397;10.826,67;37,8;19.090,07;43,29
1624;Abril;M/M PV 65%POLIEST. 35%VISC. - VERDE AGUA;KG;140,62;24,2936;3.416,18;38,22;5.374,38;36,44
1608;Abril;M/M PV 65%POLIEST. 35%VISC. - VERMELHO;KG;309,89;26,16;8.106,75;39,82;12.340,96;34,31
1620;Abril;M/M PV 65%POLIEST. 35%VISC. - VINHO;KG;505,1;20,45;10.329,31;37,93;19.158,06;46,08
842;Abril;M/M PV 67%POLIEST. 33%VISC. - MESCLA;KG;1430,35;20,2325;28.939,62;38,33;54.818,80;47,21
1494;Abril;PUNHO AD. 50%ALG / 50%POLI - AZ MARINHO;PC;1642;0,5459;896,38;2,3;3.782,80;76,3
1007;Abril;PUNHO AD. 50%ALG / 50%POLI - AZUL ROYAL;PC;370;0,55;203,5;2,34;865,5;76,49
1556;Abril;PUNHO AD. 50%ALG / 50%POLI - BEGE;PC;16;0,4;6,4;2,5;40;84
1004;Abril;PUNHO AD. 50%ALG / 50%POLI - BRANCO;PC;245;0,44;107,8;2,38;583;81,51
1550;Abril;PUNHO AD. 50%ALG / 50%POLI - CINZA PRATA;PC;86;0,47;40,42;2,29;196,7;79,45
1557;Abril;PUNHO AD. 50%ALG / 50%POLI - CZ CHUMBO;PC;57;0,49;27,93;2,38;135,7;79,42
1006;Abril;PUNHO AD. 50%ALG / 50%POLI - GRAFITE;PC;102;0,5;51;2,18;222,1;77,04
1558;Abril;PUNHO AD. 50%ALG / 50%POLI - MOTORISTA;PC;80;0,57;45,6;2,19;175;73,94
1492;Abril;PUNHO AD. 50%ALG / 50%POLI - PRETO;PC;488;0,7441;363,14;2,35;1.148,80;68,39
1541;Abril;PUNHO AD. 50%ALG / 50%POLI - VD BANDEIRA;PC;16;0,53;8,48;2,33;37,3;77,27
1549;Abril;PUNHO AD. 50%ALG / 50%POLI - VERDE MUSGO;PC;805;0,53;426,65;2,16;1.742,20;75,51
1493;Abril;PUNHO AD. 50%ALG / 50%POLI - VERMELHO;PC;237;0,5;118,5;2,28;540,5;78,08
1604;Abril;PUNHO AD. 50%ALG / 50%POLI - VINHO;PC;4;0,63;2,52;2,3;9,2;72,61
1650;Abril;PUNHO M/M 98% ALG 2% ELAST - AZ. MARINHO;KG;0,14;27,5714;3,86;52;7,28;46,98
295;Abril;PUNHO M/M 98% ALG 2% ELAST - AZUL ROYAL;KG;0,37;25,5945;9,47;50;18,5;48,81
282;Abril;PUNHO M/M 98% ALG 2% ELAST - BRANCO;KG;0,8;25,5375;20,43;50;40;48,93
1225;Abril;PUNHO M/M 98% ALG 2% ELAST - PRETO;KG;3,38;28,8195;97,41;50,14;169,46;42,52
1554;Abril;PUNHO PV RETILINEO - MESCLA;PC;12234;0,4866;5.953,68;2,15;26.313,80;77,37
1685;Abril;RIBANA PP 100% PES. - MARINHO;KG;3,55;19,9014;70,65;48;170,4;58,54
1686;Abril;RIBANA PP 100% PES. - NAUTICO;KG;26,9;19,8895;535,03;47;1.264,30;57,68
1293;Abril;RIBANA PV 65%P / 35%V - AMARELO CANARIO;KG;9,24;28,3571;262,02;48,51;448,26;41,55
1098;Abril;RIBANA PV 65%P / 35%V - AMARELO OURO;KG;4,3;26,3023;113,1;48,53;208,69;45,8
119;Abril;RIBANA PV 65%P / 35%V - AZUL BEBE;KG;3,29;21,2917;70,05;49,54;162,98;57,02
122;Abril;RIBANA PV 65%P / 35%V - AZUL MARINHO;KG;70,76;28,3568;2.006,53;47,5;3.361,41;40,31
1298;Abril;RIBANA PV 65%P / 35%V - AZUL MOTORISTA;KG;19,765;27,62;545,91;46,63;921,61;40,77
120;Abril;RIBANA PV 65%P / 35%V - AZUL ROYAL;KG;48,99;29,2706;1.433,97;47,19;2.311,69;37,97
117;Abril;RIBANA PV 65%P / 35%V - BEGE;KG;2,77;15,6931;43,47;49,87;138,13;68,53
1630;Abril;RIBANA PV 65%P / 35%V - BEGE AREIA;KG;3,56;26,0646;92,79;48,04;171,01;45,74
114;Abril;RIBANA PV 65%P / 35%V - BRANCO;KG;91,97;25,9204;2.383,90;47,31;4.351,00;45,21
1595;Abril;RIBANA PV 65%P / 35%V - CAQUI;KG;11,72;28,5554;334,67;48,94;573,57;41,65
1593;Abril;RIBANA PV 65%P / 35%V - CELESTE;KG;0,05;27;1,35;46;2,3;41,3
1507;Abril;RIBANA PV 65%P / 35%V - CINZA CHUMBO;KG;11,69;28,6381;334,78;47,3;552,91;39,45
1408;Abril;RIBANA PV 65%P / 35%V - CINZA PRATA;KG;10,29;27,3906;281,85;47,23;485,96;42
1591;Abril;RIBANA PV 65%P / 35%V - ESMERALDA;KG;0,43;28,8372;12,4;47,4;20,38;39,16
1498;Abril;RIBANA PV 65%P / 35%V - FERRARI;KG;37,7;27,1413;1.023,23;47,47;1.789,44;42,82
1586;Abril;RIBANA PV 65%P / 35%V - GRAFITE;KG;16,07;29,7902;478,73;46,69;750,29;36,19
1186;Abril;RIBANA PV 65%P / 35%V - LARANJA;KG;48,565;29,2916;1.422,55;46,93;2.279,05;37,58
1441;Abril;RIBANA PV 65%P / 35%V - MARROM;KG;1,406;27,3541;38,46;49,99;70,29;45,28
177;Abril;RIBANA PV 65%P / 35%V - MESCLA;KG;40,44;21,0096;849,63;47,15;1.906,91;55,44
917;Abril;RIBANA PV 65%P / 35%V - PEROLA;KG;1,3;28,1615;36,61;47;61,1;40,08
1374;Abril;RIBANA PV 65%P / 35%V - PETROLEO;KG;6,53;30,2848;197,76;48,26;315,14;37,25
1247;Abril;RIBANA PV 65%P / 35%V - PINK;KG;10,29;28,0796;288,94;47,05;484,12;40,32
124;Abril;RIBANA PV 65%P / 35%V - PRETO;KG;126,22;28,2677;3.567,95;47,29;5.969,29;40,23
1295;Abril;RIBANA PV 65%P / 35%V - ROXO;KG;2,31;28,7965;66,52;47,78;110,37;39,73
121;Abril;RIBANA PV 65%P / 35%V - VERDE AGUA;KG;1,405;26,9323;37,84;47,72;67,04;43,56
237;Abril;RIBANA PV 65%P / 35%V - VERDE BANDEIRA;KG;9;30,4522;274,07;47,92;431,3;36,45
1506;Abril;RIBANA PV 65%P / 35%V - VERDE FOLHA;KG;49,04;32,2516;1.581,62;47,51;2.329,97;32,12
951;Abril;RIBANA PV 65%P / 35%V - VERDE LIMAO;KG;6,9;27,4724;189,56;47,15;325,34;41,73
1286;Abril;RIBANA PV 65%P / 35%V - VERDE MUSGO;KG;26,01;29,4798;766,77;47,5;1.235,45;37,94
118;Abril;RIBANA PV 65%P / 35%V - VERMELHO;KG;21,565;29,4801;635,74;47,74;1.029,51;38,25
1301;Abril;RIBANA PV 65%P / 35%V - VINHO;KG;16,52;29,2596;483,37;46,92;775,06;37,63
1469;Abril;TACTEL - 100% POLIESTER - ROYAL CLARO;MT;21;4,5;94,5;14,5;304,5;68,97
1467;Maio;GOLA AD. 50%ALG/50%POLI - AZUL MARINHO;PC;1274;0,7944;1.012,14;2,27;2.888,00;64,95
1476;Maio;GOLA AD. 50%ALG/50%POLI - AZUL MOTORISTA;PC;237;0,85;201,45;2,21;524,9;61,62
1002;Maio;GOLA AD. 50%ALG/50%POLI - AZUL ROYAL;PC;745;0,8873;661,11;2,31;1.718,40;61,53
1527;Maio;GOLA AD. 50%ALG/50%POLI - BEGE;PC;15;0,74;11,1;2,37;35,5;68,73
996;Maio;GOLA AD. 50%ALG/50%POLI - BRANCO;PC;557;0,66;367,62;2,31;1.288,90;71,48
1528;Maio;GOLA AD. 50%ALG/50%POLI - CINZA CHUMBO;PC;261;0,72;187,92;2,3;601;68,73
1524;Maio;GOLA AD. 50%ALG/50%POLI - CINZA PRATA;PC;142;0,74;105,08;2,26;321,3;67,3
1001;Maio;GOLA AD. 50%ALG/50%POLI - GRAFITE;PC;134;0,8571;114,86;2,28;305,7;62,43
1471;Maio;GOLA AD. 50%ALG/50%POLI - PRETO;PC;924;0,7942;733,92;2,3;2.121,40;65,4
1526;Maio;GOLA AD. 50%ALG/50%POLI - VERDE BANDEIRA;PC;911;0,8244;751,04;2,31;2.103,40;64,29
1474;Maio;GOLA AD. 50%ALG/50%POLI - VERDE MUSGO;PC;343;0,8;274,4;2,21;756,7;63,74
1466;Maio;GOLA AD. 50%ALG/50%POLI - VERMELHO;PC;335;0,77;257,95;2,29;767,9;66,41
1603;Maio;GOLA AD. 50%ALG/50%POLI - VINHO;PC;46;0,92;42,32;2,33;107,3;60,56
1574;Maio;GOLA AD.65%POLI / 35%VISC - AM CANARIO;PC;157;0,83;130,31;2,37;371,9;64,96
1545;Maio;GOLA AD.65%POLI / 35%VISC - AZ MOTORISTA;PC;10;0,76;7,6;2,5;25;69,6
1537;Maio;GOLA AD.65%POLI / 35%VISC - AZUL MARINHO;PC;1421;0,9469;1.345,63;2,31;3.276,50;58,93
1536;Maio;GOLA AD.65%POLI / 35%VISC - AZUL ROYAL;PC;523;0,8581;448,8;2,3;1.200,80;62,62
1534;Maio;GOLA AD.65%POLI / 35%VISC - BRANCO;PC;144;0,7477;107,68;2,37;341,1;68,43
1652;Maio;GOLA AD.65%POLI / 35%VISC - CAQUI;PC;4;1,06;4,24;2,3;9,2;53,91
1648;Maio;GOLA AD.65%POLI / 35%VISC - CINZA CHUMBO;PC;109;0,7966;86,83;2,24;243,7;64,37
1678;Maio;GOLA AD.65%POLI / 35%VISC - CINZA FORTE;PC;166;0,85;141,1;2,22;368,5;61,71
1576;Maio;GOLA AD.65%POLI / 35%VISC - CINZA PRATA;PC;113;0,8424;95,2;2,24;252,9;62,36
1601;Maio;GOLA AD.65%POLI / 35%VISC - FERRARI;PC;73;0,8583;62,66;2,35;171,4;63,44
1649;Maio;GOLA AD.65%POLI / 35%VISC - GRAFITE;PC;75;0,9;67,5;2,35;176,2;61,69
1584;Maio;GOLA AD.65%POLI / 35%VISC - JADE;PC;78;0,8879;69,26;2,3;179,4;61,39
1651;Maio;GOLA AD.65%POLI / 35%VISC - LARANJA;PC;92;0,85;78,2;2,37;217,8;64,1
1553;Maio;GOLA AD.65%POLI / 35%VISC - MESCLA;PC;2511;0,7888;1.980,92;2,2;5.519,85;64,11
1583;Maio;GOLA AD.65%POLI / 35%VISC - PETROLEO;PC;35;0,912;31,92;2,35;82,3;61,22
1535;Maio;GOLA AD.65%POLI / 35%VISC - PRETO;PC;861;0,8735;752,15;2,35;2.024,70;62,85
1539;Maio;GOLA AD.65%POLI / 35%VISC - VD BANDEIRA;PC;2800;0,9;2.520,00;2,15;6.020,00;58,14
1581;Maio;GOLA AD.65%POLI / 35%VISC - VERDE FOLHA;PC;599;0,9593;574,65;2,25;1.348,60;57,39
1555;Maio;GOLA AD.65%POLI / 35%VISC - VERDE MUSGO;PC;655;0,8545;559,7;2,35;1.539,50;63,64
1538;Maio;GOLA AD.65%POLI / 35%VISC - VERMELHO;PC;58;0,86;49,88;2,37;137,6;63,75
1600;Maio;GOLA AD.65%POLI / 35%VISC - VINHO;PC;56;1,0028;56,16;2,42;135,4;58,52
1657;Maio;GOLA PV RETILINEA - AZ MARINHO;PC;46;0,99;45,54;2,3;105,8;56,96
1695;Maio;GOLA PV RETILINEA - CHUMBO;PC;4;0,84;3,36;2,3;9,2;63,48
1660;Maio;GOLA PV RETILINEA  - CZ PRATA;PC;1831;0,82;1.501,42;2,15;3.936,65;61,86
1700;Maio;GOLA PV RETILINEA - MESCLA;PC;9085;0,8;7.268,00;2,15;19.532,75;62,79
1658;Maio;GOLA PV RETILINEA - PRETO;PC;70;0,98;68,6;2,31;161,4;57,5
1694;Maio;GOLA PV RETILINEA  - ROYAL;PC;10;0,83;8,3;2,3;23;63,91
1127;Maio;HELANCA 100% POLIESTER - AZUL MARINHO;KG;331,14;16,98;5.622,76;29,02;9.611,28;41,5
1125;Maio;HELANCA 100% POLIESTER - AZUL ROYAL;KG;174,095;17,3837;3.026,43;30,06;5.233,11;42,17
1129;Maio;HELANCA 100% POLIESTER - BRANCA;KG;194,91;15,4199;3.005,50;28,62;5.578,56;46,12
1580;Maio;HELANCA 100% POLIESTER - CHUMBO;KG;13,2;16,4598;217,27;34,28;452,46;51,98
1689;Maio;HELANCA 100% POLIESTER - CINZA PRATA;KG;280,71;16,28;4.569,96;24,9;6.989,68;34,62
1633;Maio;HELANCA 100% POLIESTER - MARROM;KG;2,65;21,9018;58,04;30,18;79,99;27,44
1248;Maio;HELANCA 100% POLIESTER - PRETO;KG;164,91;18,18;2.998,07;31,33;5.166,73;41,97
1249;Maio;HELANCA 100% POLIESTER - VERDE BANDEIRA;KG;215,65;17,9399;3.868,76;29,98;6.465,71;40,16
1343;Maio;HELANCA 100% POLIESTER - VERDE MUSGO;KG;1,5;18,98;28,47;28,9;43,35;34,33
1130;Maio;HELANCA 100% POLIESTER - VERMELHO;KG;80,495;18,9401;1.524,59;32,66;2.629,03;42,01
1543;Maio;MALHA ESPORTIVA 100% POLIESTER -AMARELO;KG;83,53;17,8379;1.490,00;37,84;3.160,46;52,85
1502;Maio;MALHA ESPORTIVA 100% POLIESTER -BANDEIRA;KG;120,02;24,0502;2.886,51;37,64;4.517,84;36,11
1146;Maio;MALHA ESPORTIVA 100% POLIESTER -BRANCO;KG;4965,83;16,35;81.191,75;32,75;162.615,11;50,07
1529;Maio;MALHA ESPORTIVA 100% POLIESTER -LARANJA;KG;108,52;19,3399;2.098,77;34,21;3.712,59;43,47
1530;Maio;MALHA ESPORTIVA 100% POLIESTER -LIMAO;KG;44,825;20,9102;937,3;38,99;1.747,75;46,37
1573;Maio;MALHA ESPORTIVA 100% POLIESTER -MARINHO;KG;49,29;19,6443;968,27;38,61;1.903,12;49,12
1577;Maio;MALHA ESPORTIVA 100% POLIESTER -PINK;KG;19,33;24,8975;481,27;41,94;810,65;40,63
1565;Maio;MALHA ESPORTIVA 100% POLIESTER -PRATA;KG;68,8;18,3889;1.265,16;36,31;2.498,41;49,36
1501;Maio;MALHA ESPORTIVA 100% POLIESTER -PRETO;KG;491,97;17,94;8.825,95;37,24;18.319,53;51,82
1156;Maio;MALHA ESPORTIVA 100% POLIESTER -ROYAL;KG;136,74;17,4;2.379,28;38,15;5.216,20;54,39
1500;Maio;MALHA ESPORTIVA 100% POLIESTER -VERMELHO;KG;98,868;21,3475;2.110,59;39,39;3.894,77;45,81
1570;Maio;MEIA MALHA 100% POLIESTER - AM CANARIO;KG;127,24;18,8105;2.393,45;39,26;4.995,30;52,09
1568;Maio;MEIA MALHA 100% POLIESTER - AZ MARINHO;KG;600,85;19,1664;11.516,17;31,38;18.854,14;38,92
1571;Maio;MEIA MALHA 100% POLIESTER - AZ MOTORISTA;KG;186,74;18,4;3.436,02;33,02;6.165,77;44,27
1567;Maio;MEIA MALHA 100% POLIESTER - AZUL ROYAL;KG;847,42;19,1509;16.228,86;30,4;25.765,71;37,01
1588;Maio;MEIA MALHA 100% POLIESTER - BEGE;KG;69,13;18,46;1.276,14;34,44;2.380,74;46,4
1312;Maio;MEIA MALHA 100% POLIESTER - BRANCA;KG;4321,78;17,4288;75.323,72;28,45;122.933,96;38,73
1572;Maio;MEIA MALHA 100% POLIESTER - CINZA PRATA;KG;205,72;18,4099;3.787,30;31,83;6.548,10;42,16
1566;Maio;MEIA MALHA 100% POLIESTER - FERRARI;KG;338,125;20;6.762,50;31,48;10.645,47;36,48
1596;Maio;MEIA MALHA 100% POLIESTER - LARANJA;KG;335,44;19,46;6.527,68;31,91;10.702,24;39,01
1682;Maio;MEIA MALHA 100% POLIESTER -  NAUTICO;KG;152,14;19,1799;2.918,04;31,18;4.744,14;38,49
1589;Maio;MEIA MALHA 100% POLIESTER - PEROLA;KG;53,76;18,3697;987,56;30,3;1.629,06;39,38
1587;Maio;MEIA MALHA 100% POLIESTER - PETROLEO;KG;38,68;21,7701;842,07;34,43;1.331,68;36,77
1579;Maio;MEIA MALHA 100% POLIESTER - PINK;KG;21,13;21,1902;447,75;32,68;690,52;35,16
1563;Maio;MEIA MALHA 100% POLIESTER - PRETO;KG;464,46;20,4514;9.498,87;32,96;15.309,90;37,96
1646;Maio;MEIA MALHA 100% POLIESTER - ROSA BEBE;KG;10,6;16,6396;176,38;36,13;382,93;53,94
1578;Maio;MEIA MALHA 100% POLIESTER - VERDE FOLHA;KG;403,305;20,4527;8.248,71;34,05;13.731,29;39,93
23;Maio;M/M 100% ALGODAO PENTEADA - AZ MARINHO;KG;0,9;26,7666;24,09;46;41,4;41,81
16;Maio;M/M 100% ALGODAO PENTEADA - AZUL ROYAL;KG;10,6;26,4301;280,16;43;455,8;38,53
1326;Maio;M/M 100% ALGODAO PENTEADA - BRANCO;KG;52,655;23,54;1.239,50;42,97;2.262,47;45,21
179;Maio;M/M 100% ALGODAO PENTEADA - PRETA;KG;82,14;25,8802;2.125,80;49,39;4.056,71;47,6
1551;Maio;MM 96% POLIESTER/4% ELASTANO - BRANCO;KG;17,3;26,5901;460,01;42,32;732,16;37,17
1475;Maio;M/M PIQUET 50%POL/50%ALG - AZ MOTORISTA;KG;50,93;27,8998;1.420,94;45,7;2.327,43;38,95
1465;Maio;M/M PIQUET 50%POL/50%ALG - AZUL MARINHO;KG;361,03;25,0853;9.056,58;48,23;17.412,40;47,99
1491;Maio;M/M PIQUET 50%POL/50%ALG - AZUL ROYAL;KG;204,24;28,2421;5.768,17;48,85;9.977,36;42,19
1522;Maio;M/M PIQUET 50%POL/50%ALG - BEGE;KG;9,55;18,9811;181,27;50,38;481,17;62,33
172;Maio;M/M PIQUET 50%POL/50%ALG - BRANCO;KG;219,485;21,4994;4.718,81;45,26;9.934,75;52,5
1520;Maio;M/M PIQUET 50%POL/50%ALG - CINZA CHUMBO;KG;75,755;24,3396;1.843,85;49,26;3.732,02;50,59
1519;Maio;M/M PIQUET 50%POL/50%ALG - CINZA PRATA;KG;42,38;23,1503;981,11;48,59;2.059,28;52,36
42;Maio;M/M PIQUET 50%POL/50%ALG - GRAFITE;KG;35,21;24,6739;868,77;50,99;1.795,29;51,61
1470;Maio;M/M PIQUET 50%POL/50%ALG - PRETO;KG;310,45;24,0934;7.479,82;49,52;15.373,76;51,35
1521;Maio;M/M PIQUET 50%POL/50%ALG - VD BANDEIRA;KG;245,65;26,3125;6.463,69;49,18;12.082,08;46,5
1473;Maio;M/M PIQUET 50%POL/50%ALG - VERDE MUSGO;KG;104,02;24,9503;2.595,34;47,2;4.910,17;47,14
1464;Maio;M/M PIQUET 50%POL/50%ALG - VERMELHO;KG;70,37;25,7508;1.812,09;49,42;3.477,68;47,89
